,Team,EffHgt,C-Hgt,Bench,Continuity,Experience
321,Texas Southern,-0.1,+0.1,42.7,42.3,1.74
322,East Texas A&M,-0.8,-1.4,41.9,18.0,0.72
323,Saint Francis,-1.6,-1.6,30.4,27.8,0.64
324,Denver,-0.4,+0.1,37.6,39.9,0.91
325,Jackson St.,+0.2,+0.9,37.0,11.2,1.48
326,Bowling Green,-0.6,-0.5,27.6,22.3,1.27
327,Lehigh,-0.4,+0.1,30.9,55.8,1.60
328,Chattanooga,-0.0,+0.0,31.1,32.2,1.72
329,Fairleigh Dickinson,-1.6,-2.0,24.9,38.5,0.99
330,Louisiana,-1.4,-1.6,38.1,37.2,2.00
331,Western Kentucky,-0.1,+0.3,36.9,55.6,1.76
332,Mississippi,-0.7,-0.9,30.4,40.4,3.47
333,Tarleton St.,-1.3,-1.9,33.6,5.6,0.48
334,Dayton,+0.9,+1.6,27.4,47.9,2.94
335,Illinois St.,-0.8,-0.8,32.5,49.4,1.91
336,UNC Greensboro,-0.7,-1.4,34.2,48.0,2.10
337,Morgan St.,-0.0,+0.1,33.0,64.9,1.40
338,Lafayette,+0.0,+1.9,34.5,46.6,1.12
339,Ohio,-1.0,-0.9,34.4,53.9,1.84
340,Austin Peay,-1.1,-1.1,33.6,26.8,0.94
341,Southern Miss,-1.5,-2.4,29.5,20.7,1.89
342,Mississippi Valley St.,-0.8,-0.9,36.8,23.8,1.02
343,UT Rio Grande Valley,-1.6,-1.4,29.4,6.5,1.75
344,Southern,-1.3,-0.7,46.5,21.1,0.69
345,North Carolina A&T,-0.9,+0.6,27.2,49.2,0.99
346,Fairfield,+0.1,+0.4,33.4,24.0,1.76
347,South Alabama,-1.7,-2.4,34.4,15.1,0.69
348,Brown,-1.7,-1.8,30.2,43.5,1.71
349,North Alabama,-0.8,-0.8,18.5,30.6,1.87
350,Houston Christian,-2.2,-3.0,29.8,9.4,0.83
351,Oral Roberts,-1.1,-1.1,29.4,33.1,1.69
352,Missouri St.,-2.5,-2.1,27.1,0.1,1.19
353,Liberty,-0.8,-1.3,21.3,52.2,1.89
354,Tennessee Tech,-1.4,-1.6,32.6,36.2,0.92
