,team,conference,tempo_adj,off_eff_adj,def_eff_adj,Off-eFG%,Off-TO%,Off-OR%,Off-FTRate,Def-eFG%,Def-TO%,Def-OR%,Def-FTRate,EffHgt,C-Hgt,Bench,Continuity,Experience,3P%,FT%,3PA%,SOS
279,Southern Illinois,MVC,0.5652173913043486,0.4999999999999998,0.5576407506702412,0.572289156626506,0.46031746031746035,0.5165289256198348,0.47058823529411775,0.6029411764705883,0.3481481481481481,0.3728813559322035,0.48837209302325596,0.35000000000000003,0.32,0.43209876543209885,0.20615796519410978,0.39560439560439553,0.6315789473684212,0.3697478991596639,0.3873873873873874,0.4157088122605364
280,Southern Indiana,OVC,0.5031055900621126,0.33913043478260874,0.7319034852546915,0.3493975903614457,0.3730158730158729,0.4173553719008264,0.33333333333333326,0.5441176470588234,0.45925925925925926,0.5593220338983051,0.5436046511627908,0.31666666666666665,0.28,0.484567901234568,0.4109772423025435,0.2967032967032967,0.6390977443609023,0.6260504201680677,0.3843843843843844,0.12547892720306514
281,Southern Miss,SB,0.7453416149068319,0.326086956521739,0.5737265415549602,0.3493975903614457,0.5555555555555555,0.4256198347107437,0.45490196078431366,0.4264705882352944,0.41481481481481497,0.49717514124293793,0.5377906976744187,0.2,0.08000000000000002,0.4753086419753087,0.27710843373493976,0.5192307692307692,0.23308270676691745,0.4369747899159666,0.4864864864864864,0.2998084291187739
282,Southern Utah,WAC,0.6273291925465845,0.3369565217391306,0.5844504021447721,0.2831325301204819,0.7222222222222224,0.5082644628099174,0.5490196078431373,0.40441176470588225,0.3407407407407408,0.5988700564971752,0.4680232558139536,0.48333333333333334,0.3866666666666667,0.8456790123456792,0.3868808567603748,0.29945054945054944,0.2857142857142856,0.5840336134453787,0.3573573573573574,0.334610472541507
283,St. Bonaventure,A10,0.341614906832298,0.5152173913043481,0.3512064343163539,0.48795180722891596,0.2857142857142859,0.42148760330578516,0.3411764705882352,0.3897058823529411,0.6074074074074074,0.31073446327683607,0.2180232558139535,0.5833333333333334,0.5733333333333334,0.1018518518518518,0.09370816599732262,0.3598901098901099,0.3533834586466167,0.6134453781512605,0.42642642642642636,0.42496807151979565
284,St. John's,BE,0.7018633540372665,0.6804347826086958,0.0,0.4578313253012052,0.24603174603174593,0.8057851239669419,0.3137254901960784,0.1617647058823528,0.8444444444444443,0.423728813559322,0.39244186046511625,0.5,0.4666666666666667,0.35802469135802467,0.26104417670682734,0.6456043956043955,0.27819548872180455,0.41596638655462215,0.28828828828828834,0.6685823754789272
285,St. Thomas,Sum,0.5590062111801242,0.673913043478261,0.6058981233243967,0.9457831325301203,0.10317460317460336,0.14876033057851223,0.4627450980392156,0.5955882352941178,0.5925925925925926,0.5536723163841808,0.5523255813953487,0.2833333333333333,0.2666666666666667,0.5246913580246915,0.6398929049531459,0.36538461538461536,0.8721804511278193,0.785714285714286,0.7837837837837838,0.2656449553001277
286,Stanford,ACC,0.44720496894409933,0.6413043478260867,0.4048257372654156,0.5,0.261904761904762,0.5495867768595041,0.2941176470588236,0.4558823529411766,0.5259259259259261,0.384180790960452,0.555232558139535,0.85,0.84,0.3518518518518519,0.32262382864792505,0.3818681318681318,0.5488721804511281,0.8319327731092439,0.6246246246246248,0.5715197956577267
287,Stephen F. Austin,Slnd,0.5341614906832302,0.2717391304347825,0.4584450402144773,0.2771084337349401,0.7698412698412697,0.6942148760330579,0.39607843137254894,0.3529411764705883,0.7185185185185186,0.6610169491525424,0.5,0.43333333333333335,0.4,0.5740740740740742,0.6157965194109772,0.4642857142857142,0.15037593984962427,0.1680672268907566,0.4864864864864864,0.2889527458492976
288,Stetson,ASun,0.5465838509316763,0.36521739130434816,0.836461126005362,0.48795180722891596,0.492063492063492,0.2603305785123967,0.4274509803921569,0.6397058823529411,0.19259259259259265,0.7288135593220337,0.3139534883720931,0.6,0.5733333333333334,0.6327160493827162,0.2436412315930388,0.2335164835164835,0.511278195488722,0.6260504201680677,0.5105105105105106,0.23754789272030652
289,Stonehill,NEC,0.3788819875776399,0.3956521739130434,0.7372654155495981,0.536144578313253,0.46031746031746035,0.3553719008264461,0.36078431372549,0.47794117647058787,0.4222222222222223,0.45197740112994356,0.45930232558139544,0.33333333333333337,0.21333333333333337,0.4876543209876543,0.4444444444444445,0.3186813186813186,0.6541353383458648,0.5504201680672267,0.7147147147147148,0.0676883780332056
290,Stony Brook,CAA,0.3478260869565224,0.4195652173913047,0.8069705093833779,0.33734939759036164,0.46031746031746035,0.48347107438016523,0.3686274509803922,0.8529411764705883,0.32592592592592595,0.5593220338983051,0.33430232558139533,0.33333333333333337,0.36000000000000004,0.41358024691358025,0.31994645247657294,0.5302197802197801,0.5338345864661651,0.651260504201681,0.5525525525525525,0.27458492975734355
291,Syracuse,ACC,0.5776397515527947,0.6021739130434784,0.4932975871313676,0.536144578313253,0.4285714285714285,0.56198347107438,0.4274509803921569,0.625,0.2666666666666666,0.2655367231638419,0.4680232558139536,0.5666666666666667,0.5466666666666666,0.617283950617284,0.40562248995983935,0.6813186813186812,0.4586466165413534,0.48319327731092443,0.36036036036036045,0.6522988505747127
292,TCU,B12,0.47826086956521774,0.5043478260869565,0.25469168900804284,0.2831325301204819,0.38095238095238104,0.628099173553719,0.44313725490196076,0.47794117647058787,0.6666666666666667,0.46327683615819226,0.3313953488372094,0.55,0.49333333333333335,0.6450617283950619,0.09772423025435073,0.5274725274725274,0.24812030075187952,0.2394957983193282,0.4204204204204205,0.7959770114942528
293,Tarleton St.,WAC,0.4161490683229818,0.22608695652173938,0.4262734584450403,0.2289156626506026,1.0,0.4256198347107437,0.7568627450980392,0.5661764705882355,0.9481481481481482,0.7062146892655368,0.9156976744186045,0.23333333333333334,0.14666666666666672,0.6018518518518521,0.07496653279785809,0.13186813186813184,0.4135338345864663,0.5840336134453787,0.14714714714714716,0.4220945083014048
294,Temple,Amer,0.6086956521739131,0.5956521739130436,0.619302949061662,0.4698795180722892,0.25396825396825384,0.5867768595041322,0.9019607843137254,0.4558823529411766,0.3407407407407408,0.5536723163841808,0.566860465116279,0.5,0.4266666666666667,0.595679012345679,0.4765729585006694,0.6346153846153846,0.6842105263157894,0.6050420168067232,0.31831831831831836,0.3706896551724138
295,Tennessee,SEC,0.29813664596273304,0.8195652173913042,0.04289544235924936,0.6445783132530121,0.2777777777777778,0.7272727272727272,0.5176470588235293,0.0,0.5407407407407407,0.4915254237288136,0.36337209302325585,0.65,0.5733333333333334,0.34567901234567905,0.4846050870147256,0.8049450549450549,0.5488721804511281,0.6428571428571428,0.6696696696696698,0.8869731800766284
296,Tennessee Martin,OVC,0.45962732919254723,0.415217391304348,0.675603217158177,0.3313253012048194,0.5555555555555555,0.6983471074380166,0.47843137254901946,0.5808823529411762,0.6222222222222222,0.5254237288135593,0.49418604651162795,0.31666666666666665,0.18666666666666668,0.7962962962962963,0.0,0.07967032967032965,0.33082706766917314,0.4369747899159666,0.7987987987987988,0.14080459770114942
297,Tennessee St.,OVC,0.7142857142857144,0.4260869565217391,0.5898123324396782,0.5542168674698793,0.6825396825396827,0.6611570247933883,0.752941176470588,0.3235294117647056,0.5111111111111111,0.5028248587570623,0.6511627906976742,0.43333333333333335,0.45333333333333337,0.6203703703703707,0.03346720214190094,0.2637362637362637,0.4436090225563909,0.3949579831932777,0.3873873873873874,0.10568326947637291
298,Tennessee Tech,OVC,0.5527950310559007,0.3956521739130434,0.6863270777479893,0.5180722891566267,0.38888888888888873,0.2975206611570248,0.26274509803921564,0.38235294117647056,0.3481481481481481,0.6214689265536724,0.15406976744186046,0.2166666666666667,0.18666666666666668,0.5709876543209877,0.4846050870147256,0.25274725274725274,0.6315789473684212,0.4957983193277311,0.7717717717717718,0.12643678160919541
299,Texas,SEC,0.5341614906832302,0.7413043478260872,0.3217158176943702,0.6265060240963858,0.1507936507936508,0.49586776859504134,0.5647058823529412,0.2941176470588234,0.45185185185185195,0.4689265536723164,0.6511627906976742,0.5333333333333333,0.52,0.5524691358024691,0.23025435073627842,0.7829670329670328,0.6917293233082704,0.6680672268907566,0.4414414414414414,0.8247126436781609
300,Texas A&M,SEC,0.45341614906832284,0.7304347826086957,0.1233243967828419,0.32530120481927716,0.4523809523809522,0.9999999999999999,0.7647058823529411,0.2794117647058827,0.6814814814814814,0.3615819209039548,0.5348837209302324,0.3666666666666667,0.28,0.7685185185185186,0.9196787148594378,0.8186813186813185,0.33082706766917314,0.4411764705882355,0.5075075075075075,0.8930395913154534
301,Texas A&M Corpus Chris,Slnd,0.5341614906832302,0.5086956521739132,0.48793565683646145,0.6445783132530121,0.4206349206349208,0.5826446280991734,0.5686274509803921,0.40441176470588225,0.577777777777778,0.5254237288135593,0.6831395348837208,0.4666666666666667,0.29333333333333333,0.9537037037037039,0.7175368139223561,0.37637362637362637,0.6015037593984967,0.13445378151260545,0.2552552552552553,0.25766283524904215
302,Texas Southern,SWAC,0.6894409937888204,0.3043478260869563,0.5013404825737267,0.32530120481927716,0.5793650793650794,0.5247933884297521,0.26274509803921564,0.2205882352941173,0.6740740740740743,0.7514124293785311,0.5610465116279071,0.43333333333333335,0.41333333333333333,0.8827160493827162,0.5662650602409638,0.478021978021978,0.48120300751879697,0.5462184873949583,0.45345345345345334,0.1449553001277139
303,Texas St.,SB,0.44099378881987583,0.5826086956521743,0.6675603217158179,0.5180722891566267,0.44444444444444453,0.7148760330578513,0.5411764705882351,0.40441176470588225,0.40740740740740744,0.5706214689265536,0.7180232558139534,0.23333333333333334,0.2,0.7407407407407409,0.570281124497992,0.5219780219780219,0.7142857142857144,0.7142857142857144,0.21921921921921927,0.28607918263090676
304,Texas Tech,B12,0.4099378881987583,0.9282608695652173,0.260053619302949,0.8072289156626504,0.18253968253968267,0.6818181818181815,0.2941176470588236,0.2647058823529411,0.5111111111111111,0.4011299435028248,0.48255813953488375,0.4,0.48000000000000004,0.484567901234568,0.5180722891566265,0.7280219780219779,0.8421052631578947,0.7310924369747904,0.7177177177177179,0.7369093231162197
305,The Citadel,SC,0.3540372670807459,0.2673913043478262,0.7828418230563003,0.28915662650602414,0.5555555555555555,0.38842975206611563,0.4156862745098038,0.7426470588235294,0.3481481481481481,0.5988700564971752,0.4622093023255814,0.18333333333333335,0.10666666666666669,0.5679012345679013,0.1365461847389558,0.07967032967032965,0.1879699248120299,0.1386554621848739,0.7357357357357359,0.272669220945083
306,Toledo,MAC,0.5652173913043486,0.639130434782609,0.8203753351206435,0.5060240963855422,0.09523809523809523,0.4999999999999999,0.5215686274509803,0.8897058823529407,0.36296296296296293,0.536723163841808,0.2790697674418606,0.38333333333333336,0.3066666666666667,0.35802469135802467,0.6345381526104418,0.5137362637362637,0.518796992481203,0.7016806722689077,0.23423423423423428,0.30395913154533843
307,Towson,CAA,0.29813664596273304,0.5260869565217392,0.5013404825737267,0.3493975903614457,0.15873015873015872,0.7231404958677684,0.2431372549019608,0.4705882352941173,0.5037037037037038,0.3728813559322035,0.4011627906976744,0.4166666666666667,0.3466666666666667,0.6604938271604939,1.0,0.596153846153846,0.5037593984962405,0.3865546218487399,0.49549549549549554,0.30938697318007663
