team,conference,tempo_adj,off_eff_adj,def_eff_adj,Off-eFG%,Off-TO%,Off-OR%,Off-FTRate,Def-eFG%,Def-TO%,Def-OR%,Def-FTRate,EffHgt,C-Hgt,Bench,Continuity,Experience,3P%,FT%,3PA%,SOS
Jacksonville,ASun,68.1,101.6,103.0,50.2,19.6,35.1,27.6,50.8,19.3,30.4,33.8,0.2,-0.4,34.7,37.9,1.56,37.4,67.7,34.2,-2.12
Jacksonville St.,CUSA,65.3,110.0,105.5,49.8,15.9,30.7,31.6,48.6,12.9,26.6,27.9,0.5,1.0,30.8,19.9,1.63,33.7,76.4,36.8,2.35
James Madison,SB,65.0,111.5,110.7,51.1,16.0,32.0,30.4,50.8,15.5,30.3,33.1,0.4,1.2,29.1,10.7,2.34,34.6,76.7,45.3,-1.14
Kansas,B12,68.8,115.4,92.2,53.1,16.4,30.0,23.9,45.4,16.0,27.3,27.5,1.9,3.4,29.3,43.6,3.62,34.0,70.4,33.9,14.39
Kansas City,Sum,64.9,100.9,107.2,48.6,19.0,32.7,31.6,51.4,17.1,30.0,35.0,-0.9,-1.2,29.7,60.5,1.38,32.6,77.1,44.2,-1.52
Kansas St.,B12,67.5,111.6,99.4,51.3,17.6,30.0,27.8,49.2,18.6,32.5,28.8,1.1,1.0,24.9,15.9,2.55,34.0,68.5,40.5,12.73
Kennesaw St.,CUSA,70.7,105.8,103.6,48.8,20.2,32.8,38.3,48.0,15.6,27.2,43.5,-0.4,-1.1,29.8,29.7,1.21,29.6,72.2,45.4,3.15
Kent St.,MAC,66.0,106.9,103.0,49.0,17.3,35.4,29.3,48.1,19.3,28.7,40.3,-1.0,-0.9,35.5,46.0,2.16,30.1,76.3,38.1,-2.6
Kentucky,SEC,70.8,125.3,100.9,56.2,15.2,29.4,35.1,49.9,13.9,26.6,31.5,1.4,1.2,38.7,0.0,3.09,37.3,73.7,42.1,17.85
LIU,NEC,65.3,94.7,104.7,47.6,20.2,31.2,28.0,47.9,19.5,27.5,43.9,-1.3,-1.4,28.6,9.9,1.05,30.4,73.1,33.5,-9.33
LSU,SEC,68.0,111.3,100.9,51.8,18.5,30.7,32.3,47.4,16.6,34.6,30.0,0.4,0.4,36.2,12.5,2.07,31.1,72.5,43.3,12.91
La Salle,A10,69.0,102.9,109.4,45.6,15.3,30.6,30.2,53.2,16.9,29.0,28.8,0.1,-0.1,28.2,34.1,1.92,31.1,71.8,33.9,2.17
